Agency,Route,ATISRoute,RouteDescription,RouteNumber
CT,101,101,Aurora Village-Mariner Park & Ride,101
CT,105,105,UW Bothell-Mariner Park & Ride,105
CT,106,106,UW Bothell-Canyon Park Park & Ride,106
CT,110,110,Edmonds-Lynnwood Transit Center,110
CT,111,111,Brier-Mountlake Terrace,111
CT,112,112,Edmonds Community College-Lynnwood Transit Center,112
CT,113,113,Lynnwood Transit Center-Mukilteo,113
CT,115,115,Mill Creek-Edmonds Community College,115
CT,116,116,Silver Firs-Edmonds,116
CT,118,118,Aurora Village-Lynnwood Transit Center,118
CT,119,119,Lynnwood Transit Center-Ash Way Park & Ride,119
CT,120,120,Canyon Park-Lynnwood Transit Center,120
CT,121,121,Canyon Park Park & Ride-UW Bothell,121
CT,130,130,Aurora Village-Lynnwood Transit Center,130
CT,131,131,Aurora Village-Edmonds CC,131
CT,190,190,Mukilteo-Edmonds Community College,190
CT,201,201,Lynnwood Transit Center- Smokey Pt,201
CT,202,202,Lynnwood Transit Center- Smokey Pt,202
CT,221,221,Quil Ceda Village to Lake Stevens,221
CT,222,222,Tulalip to Marysville,222
CT,227,227,Boeing-Arlington,227
CT,230,230,Smokey Point to Darrington,230
CT,240,240,Stanwood to Arlington,240
CT,247,247,Boeing-Stanwood,247
CT,270,270,Everett Station-Gold Bar,270
CT,271,271,Everett Station-Gold Bar,271
CT,275,275,Everett Station-Monroe,275
CT,277,277,Boeing-Monroe / Gold Bar,277
CT,280,280,Everett Station-Granite Falls,280
CT,401,401,North Lynnwood-Seattle,401
CT,402,402,Lynnwood Transit Center-Seattle,402
CT,405,405,Edmonds Park & Ride-Seattle,405
CT,406,406,Edmonds Park & Ride-Seattle,406
CT,408,408,Mountlake Terrace Transit Center-Seattle,408
CT,410,410,Downtown Seattle-Mariner Park & Ride,410
CT,412,412,Downtown Seattle-Silver Firs,412
CT,413,413,Downtown Seattle-Swamp Creek Park & Ride,413
CT,414,414,Downtown Seattle-McCollum Park Park & Ride,414
CT,415,415,Downtown Seattle-North Lynnwood,415
CT,416,416,Downtown Seattle-Edmonds,416
CT,417,417,Downtown Seattle-Mukilteo,417
CT,421,421,Downtown Seattle-Marysville,421
CT,422,422,Downtown Seattle-Stanwood,422
CT,424,424,Downtown Seattle-Snohomish Park & Ride,424
CT,425,425,Downtown Seattle-Lake Stevens Transit Center,425
CT,435,435,Downtown Seattle-Mays Pond,435
CT,477,477,Downtown Seattle-Brier,477
CT,810,810,University District-McCollum Park Park & Ride,810
CT,821,821,University District-Marysville,821
CT,855,855,University District-Lynnwood Transit Center,855
CT,860,860,Univ. District-McCollum Park P&R,860
CT,860,860,University District-McCollum Park Park & Ride,860
CT,871,871,University District-Edmonds Park & Ride,871
CT,880,880,University District-Mukilteo,880
CT,885,885,885 University District-North Lynnwood,885
CT,SWIFT,SWIFT,Aurora Village-Everett Station,SWIFT
ET,2,EE2,South Everett Circulator,2
ET,3,EE3,W Casino Road-Everett Station,3
ET,4,EE4,North Everett Circulator,4
ET,5,EE5,Harborfront-Everett Station,5
ET,7,EE7,Evergreen Way,7
ET,8,EE8,Evergreen Center-Merrill Creek,8
ET,9,EE9,Airport Road-College Station,9
ET,12 ,EE12,Mall Circulator,12
ET,14 ,EE14,Mall Circulator,14
ET,17 ,EE17,South Colby,17
ET,18 ,EE18,Mukilteo-Everett Station,18
ET,25 ,EE25,North Everett Circulator,25
ET,27 ,EE27,MurphyÕs Corner-Mall Station,27
ET,29 ,EE29,Mall Station-College Station,29
ET,70 ,EE70,Boeing-Mukilteo,70
ET,79 ,EE79,Everett-Marysville-Navy Support Center,79
ET,701,EE701,Mall Station Express,701
ET,702,EE702,Everett Station Express,702
IntC,603,EE603,Tacoma-Olympia Express,603
IntC,620,EE620,Tacoma-Olympia Express,620
IT,412,EE412,Camano Island-Everett Express,412
IT,411C,IT411C,Camano Island-Mt Vernon,411C
IT,411W,IT411W,Oak Harbor-Mt Vernon,411W
MT,1,M1,Kinnear-Downtown Seattle,1
MT,2,M2,West Queen Anne-Madrona Park,2
MT,3,M3,N. Queen Anne-Madrona/34th,3
MT,4,M4,East Queen Anne-Judkins Park,4
MT,5,M5,Shoreline CC-Downtown Seattle,5
MT,7,M7,Rainier Beach-Downtown Seattle,7
MT,8,M8,Rainier Beach-Seattle Center,8
MT,9,M9,Broadway-Rainier Beach Express,9
MT,10 ,M10,Capitol Hill-Downtown Seattle,10
MT,11 ,M11,Madison Park-Downtown Seattle,11
MT,12 ,M12,Interlaken Park-Downtown Sea.,12
MT,13 ,M13,Seattle Pacific-Downtown Seattle,13
MT,14 ,M14,Summit-Mt. Baker,14
MT,15 ,M15,Blue Ridge-Downtown Seattle,15
MT,16 ,M16,Northgate-Downtown Seattle,16
MT,17 ,M17,Sunset Hill-Downtown Seattle,17
MT,18 ,M18,North Beach-Downtown Seattle,18
MT,19 ,M19,West Magnolia-Downtown Sea.,19
MT,21 ,M21,Arbor Heights-Downtown Seattle,21
MT,22 ,M22,White Center-Downtown Seattle,22
MT,23 ,M23,White Center-Downtown Seattle,23
MT,24 ,M24,W Magnolia-Downtown Seattle,24
MT,25 ,M25,Laurelhurst-Downtown Seattle,25
MT,26 ,M26,E Green Lake-Downtown Seattle,26
MT,27 ,M27,Leschi Park-Downtown Seattle,27
MT,28 ,M28,Broadview-Downtown Seattle,28
MT,30 ,M30,University District-Seattle Center,30
MT,31 ,M31,Magnolia-University District,31
MT,33 ,M33,Discovery Park-Downtown Sea.,33
MT,34 ,M34,Rainier Beach-Downtown Sea. Exp.,34
MT,35 ,M35,Harbor Island-Downtown Seattle,35
MT,36 ,M36,Othello Stn.-Downtown Seattle,36
MT,37 ,M37,W Seattle-Alki-Downtown Sea.,37
MT,38 ,M38,Beacon Hill-Rainier Valley,38
MT,39 ,M39,Othello Stn.-Downtown Seattle,39
MT,41 ,M41,Lake City-Downtown Seattle,41
MT,42 ,M42,Pioneer Square-Columbia City,42
MT,43 ,M43,Univ. District-Downtown Seattle,43
MT,44 ,M44,Ballard-University District,44
MT,45 ,M45,Queen Anne-University District,45
MT,46 ,M46,Ballard-University District,46
MT,48 ,M48,Loyal Heights-Mount Baker,48
MT,49 ,M49,University Dist.-Downtown Sea.,49
MT,51 ,M51,West Seattle-Admiral District,51
MT,53 ,M53,West Seattle-Alki,53
MT,54 ,M54,White Center-Downtown Seattle,54
MT,55 ,M55,Admiral District-Downtown Sea.,55
MT,56 ,M56,Alki-Downtown Seattle,56
MT,57 ,M57,W. Seattle-Downtown Seattle,57
MT,60 ,M60,Broadway-White Center,60
MT,64 ,M64,Lake City-First Hill,64
MT,65 ,M65,Lake City-University District,65
MT,66 ,M66,Northgate-Downtown Seattle Exp.,66
MT,67 ,M67,Northgate-University District,67
MT,68 ,M68,Northgate-University District,68
MT,70 ,M70,Univ. District-Downtown Sea.,70
MT,71 ,M71,Wedgwood-Downtown Seattle,71
MT,72 ,M72,Lake City-Downtown Seattle,72
MT,73 ,M73,Jackson Park-Downtown Seattle,73
MT,74 ,M74,Sand Point-Downtown Seattle,74
MT,75 ,M75,Ballard-University District,75
MT,76 ,M76,Wedgwood-Downtown Seattle,76
MT,77 ,M77,North City-Downtown Seattle,77
MT,79 ,M79,Lake City-Downtown Seattle,79
MT,81 ,M81,Ballard-Downtown Seattle,81
MT,82 ,M82,Green Lake-Downtown Seattle,82
MT,83 ,M83,Maple Leaf-Downtown Seattle,83
MT,84 ,M84,Madison Park-Downtown Seattle,84
MT,85 ,M85,West Seattle-Downtown Seattle,85
MT,99 ,M99,Waterfront,99
MT,101,M101,Renton-Downtown Seattle,101
MT,102,M102,Fairwood-Downtown Seattle,102
MT,105,M105,Renton Highlands-Renton,105
MT,106,M106,Renton-Downtown Seattle,106
MT,107,M107,Renton-Rainier Beach,107
MT,110,M110,North Renton-Tukwila Station,110
MT,111,M111,"Lake Kathleen, Kennydale-Downtown Seattle",111
MT,113,M113,Shorewood-Downtown Seattle,113
MT,114,M114,Renton Highlands-Downtown Seattle,114
MT,116,M116,Fauntleroy Ferry-Downtown Seattle Express,116
MT,118,M118,Tahlequah-Vashon-(Downtown Seattle),118
MT,119,M119,Dockton-Vashon-(Downtown Seattle),119
MT,120,M120,Burien-Downtown Seattle,120
MT,121,M121,Des Moines-Downtown Seattle Express,121
MT,122,M122,Des Moines-Downtown Seattle Express,122
MT,123,M123,Gregory Heights-Downtown Seattle Express,123
MT,124,M124,Tukwila-Downtown Seattle,124
MT,125,M125,Shorewood-Downtown Seattle,125
MT,128,M128,Southcenter-West Seattle,128
MT,129,M129,Tukwila Station-Riverton Heights,129
MT,131,M131,Des Moines-Downtown Seattle,131
MT,132,M132,Des Moines-Downtown Seattle,132
MT,133,M133,Burien-University District,133
MT,134,M134,Burien-Downtown Seattle,134
MT,139,M139,Burien-Gregory Heights,139
MT,140,M140,Burien-Renton,140
MT,143,M143,Black Diamond-Downtown Seattle,143
MT,148,M148,Fairwood-Renton,148
MT,149,M149,Enumclaw-Black Diamond-Maple Valley-Renton,149
MT,150,M150,Kent-Downtown Seattle,150
MT,152,M152,Auburn-Downtown Seattle,152
MT,153,M153,Renton-Kent,153
MT,154,M154,Tukwila-Boeing Industrial,154
MT,155,M155,Fairwood-Southcenter,155
MT,156,M156,SeaTac-Tukwila Station,156
MT,157,M157,Lake Meridian Park & Ride-Downtown Seattle,157
MT,158,M158,Kent East Hill-Downtown Seattle,158
MT,159,M159,Timberlane-Downtown Seattle,159
MT,161,M161,Lake Meridian Park & Ride-Downtown Seattle,161
MT,162,M162,Kent-Des Moines Park & Ride-Downtown Seattle,162
MT,164,M164,Kent-Green River Community College,164
MT,166,M166,Kent-Des Moines,166
MT,167,M167,Renton-University District,167
MT,168,M168,Kent-Maple Valley,168
MT,169,M169,Kent-Renton,169
MT,173,M173,Federal Way-Duwamish,173
MT,175,M175,W. Federal Way-Downtown Seattle,175
MT,177,M177,Federal Way Park & Ride-Downtown Seattle,177
MT,179,M179,Twin Lakes Park & Ride-Downtown Seattle,179
MT,180,M180,Kent-Southeast Auburn,180
MT,181,M181,Twin Lakes-Auburn-Green River Community College,181
MT,182,M182,Federal Way-Northeast Tacoma,182
MT,183,M183,Federal Way-Kent,183
MT,186,M186,Enumclaw-Auburn,186
MT,187,M187,Twin Lakes-Federal Way,187
MT,190,M190,Redondo Heights Park & Ride-Downtown Seattle,190
MT,192,M192,Star Lake-Downtown Seattle,192
MT,193,M193,Star Lake-First Hill,193
MT,196,M196,South Federal Way Park & Ride-Downtown Seattle,196
MT,197,M197,Twin Lakes Park & Ride-University District,197
MT,200,M200,Issaquah-North Issaquah,200
MT,201,M201,Mercer Island-South Mercer Island,201
MT,202,M202,S. Mercer Island-Seattle,202
MT,202,M202,South Mercer Island-Seattle,202
MT,203,M203,Shorewood-Mercer Island,203
MT,204,M204,S. Mercer Island-Mercer Island,204
MT,205,M205,S. Mercer Island-University Dist.,205
MT,209,M209,North Bend-Issaquah,209
